Date,xlb,xle,xlf,xli,xlk,xlp,xlu,xlv,xly
11/24/1999,16.697932,21.223781,18.067539,21.346704,40.539035,18.066799,16.119898,23.189071,23.466716
11/26/1999,16.654868,20.912019,17.942303,21.24038,40.854719,17.889674,16.304883,23.001149,23.752579
11/29/1999,16.278058,20.744148,17.509684,20.88598,40.499578,17.878608,16.119898,22.863338,23.960479
11/30/1999,16.482614,20.70818,17.805686,20.791473,39.289457,17.646126,16.322494,22.850815,23.622641
12/1/1999,16.525677,21.115859,17.66907,20.95686,39.670905,17.579704,16.401776,22.800703,23.908504
12/2/1999,16.870187,20.912019,17.748767,20.909606,40.617956,17.668267,16.304883,23.001149,23.804554
12/3/1999,16.977838,20.816093,18.169997,21.252198,41.775463,17.790045,16.621996,23.452152,24.077418
12/6/1999,16.988608,20.804106,17.68045,21.193127,42.064839,17.280801,16.50748,23.589963,24.116404
12/7/1999,16.794821,20.408404,17.6463,20.791473,42.170067,17.004046,16.630802,23.527319,23.713593
12/8/1999,16.934774,20.624239,17.225062,21.157691,41.722849,16.738358,16.498668,23.75282,23.583665
12/9/1999,16.870187,20.792111,17.475534,20.590651,41.617621,16.716218,16.516292,24.116124,23.544679
12/10/1999,17.074735,20.192569,17.782917,20.968677,41.828076,16.80478,16.392964,23.965789,24.194366
12/13/1999,17.096267,20.312478,17.577992,21.086802,42.104296,16.450529,16.384158,23.802932,24.922016
12/14/1999,17.268521,20.264514,17.156762,21.086802,41.301937,16.428389,16.375353,23.853043,24.597168
12/15/1999,17.752983,20.672203,17.111223,20.88598,42.14376,16.716218,16.445822,23.652597,24.714116
12/16/1999,17.440776,20.876043,16.735523,21.074993,42.932969,16.295545,16.278454,23.84052,25.259854
12/17/1999,18.130354,20.78128,16.86551,21.656615,43.407346,16.343153,16.488657,24.253935,25.135374
12/20/1999,17.308704,20.324284,16.728392,21.004312,43.828265,16.132198,16.107464,24.169053,24.406812
12/21/1999,17.297897,20.38442,17.048334,21.300811,44.670105,15.976769,16.320221,24.017838,24.510892
